% Model,topology.mph
% Version,COMSOL 6.3.0.290
% Date,"Jul 13 2025, 17:37"
% Dimension,1
% Nodes,186
% Expressions,1
% Description,全局
% 解编号,频率
1,85.92991087082304
2,85.83315441530154
3,85.30994141101922
4,83.62697512443069
5,79.63528469928127
6,72.37841562806204
7,61.79305769680931
8,48.51603502217045
9,33.33352777458308
10,16.95437092522338
11,1.5819747119786554E-19
12,7.837083408847091
13,15.704068336154327
14,23.614080578783447
15,31.547415080674003
16,39.434915944561766
17,47.1352418473033
18,54.3923987967295
19,60.74686981519796
20,65.38564691198945
21,67.15376019991255
22,69.55172769953674
23,76.01826651557468
24,84.92929468137217
25,94.65139954584177
26,91.41649390932564
27,88.72614544125655
28,86.94783322618879
29,86.10418343365025
30,85.91467144581996
31,85.92991087081765
1,126.69229386545743
2,126.11375376999628
3,124.52935377435139
4,122.47873189041024
5,120.9197975051927
6,120.71063079774993
7,116.90506400105004
8,91.66401534571904
9,62.629369192772934
10,31.713383922631458
11,1.5917875682024192E-19
12,24.2610677307441
13,48.24437760841703
14,71.6638837812263
15,94.21526271002816
16,115.56062370139175
17,116.7307182038803
18,112.74218666266376
19,108.74345233692866
20,105.52447103854654
21,104.23044027401198
22,103.45970336557221
23,101.31231292190132
24,98.21832863268439
25,94.73443208858666
26,103.9493562719378
27,112.02653229155874
28,118.44986771075428
29,123.04487719031052
30,125.78419890844332
31,126.69229386545409
1,126.69229386571018
2,128.54610684812533
3,133.39296910865392
4,139.04603964419388
5,141.42417135573677
6,134.7476587620208
7,121.91779832516957
8,123.95738856657469
9,126.09632610978942
10,127.68817697319713
11,128.27523898249484
12,127.97313760666158
13,127.05374442591571
14,125.48434676104812
15,123.23164294593958
16,120.29174001369891
17,135.29873290410586
18,152.8974732323758
19,167.53647716753173
20,177.80818791766765
21,181.64381303809841
22,180.23875213453374
23,176.21154377041987
24,170.1075815928584
25,162.65012393410177
26,154.53527239511553
27,146.38938506783666
28,138.82547029665577
29,132.5169924400304
30,128.22974897253874
31,126.69229386570738
1,214.6922426696329
2,214.7890080462499
3,215.1617534827027
4,215.99808614778073
5,217.4503618080391
6,212.1078853008535
7,211.79501216350894
8,215.48192165134463
9,219.574987135244
10,222.43199833859214
11,223.43554706252502
12,223.15047423768104
13,222.37600970388226
14,221.3074475779432
15,220.17029863789278
16,219.16381362205766
17,218.4350602029461
18,218.0693975208313
19,218.08675601079997
20,218.41729611955833
21,218.70708940232998
22,218.45987132450736
23,217.85939050083567
24,217.14655562022784
25,216.47314706106894
26,215.90126423052132
27,215.44685374858074
28,215.10707929874133
29,214.8733146482066
30,214.7369947546349
31,214.69224266963258
1,271.4018392762916
2,264.9890044239806
3,251.378985663449
4,235.26602668359084
5,220.4620046576984
6,219.50306932551197
7,221.9118750083066
8,224.17969934664288
9,225.26766391513866
10,224.19102694516985
11,230.00372972536067
12,223.63174059359744
13,224.20651013913454
14,225.11843732270964
15,226.29858868230926
16,226.50183543605178
17,225.09713776729774
18,223.63510923570493
19,222.22953527848455
20,221.03566895536426
21,220.45334113802141
22,221.2702277219924
23,223.82916522281838
24,228.13716012434364
25,233.88306553730985
26,240.61807836941622
27,247.905280294191
28,255.33534281684382
29,262.44843824385276
30,268.4868679649779
31,271.4018392762907
1,276.4402665380431
2,269.7576142337772
3,265.49461424547275
4,259.6433503681714
5,252.98585533026093
6,246.1226231019612
7,239.58520607559757
8,233.96699842404217
9,230.34907036651254
10,229.81020766489294
11,288.3692717988125
12,229.8739143605203
13,229.4659999414065
14,228.75443728693182
15,227.7487431595573
16,227.65090261001146
17,229.05348038656115
18,230.36213271742304
19,231.41911027959972
20,232.07878625749652
21,232.28682030111113
22,233.14823059729557
23,235.59178878783607
24,239.3621685188979
25,244.23159014634078
26,249.93144999021536
27,256.0437141750518
28,261.9567754648786
29,266.9267138236099
30,270.2401342433403
31,276.44026653804167
